question,Intent_Number
list-grad-schools-for-major Political Science,42
list-grad-schools-for-major Psychology,42
"list-grad-schools-for-major Science, Technology and Society",42
list-grad-schools-for-major Sociology,42
list-grad-schools-for-major Urban Studies,42
list-howgotjob-for-major Communication,43
list-howgotjob-for-major Economics,43
list-howgotjob-for-major English,43
list-howgotjob-for-major Political Science,43
list-howgotjob-for-major Sociology,43
list-industries-for-major Biological Basis of Behavior,44
list-industries-for-major Cinema Studies,44
list-industries-for-major Communication,44
list-industries-for-major Criminology,44
list-industries-for-major Economics,44
list-industries-for-major Engineering,44
list-industries-for-major English,44
list-industries-for-major International Relations,44
list-industries-for-major Marketing and Communication,44
"list-industries-for-major Philosophy, Politics and Economics",44
list-industries-for-major Political Science,44
list-industries-for-major Psychology,44
list-industries-for-major Sociology,44
list-job-titles-for-major Accounting,45
list-job-titles-for-major Behavioral Economics,45
list-job-titles-for-major Biological Basis of Behavior,45
list-job-titles-for-major Business Economics and Public Policy,45
list-job-titles-for-major Cinema Studies,45
list-job-titles-for-major Communication,45
list-job-titles-for-major Criminology,45
list-job-titles-for-major Economics,45
list-job-titles-for-major Economics,45
list-job-titles-for-major English,45
list-job-titles-for-major English,45
list-job-titles-for-major Finance,45
list-job-titles-for-major History,45
list-job-titles-for-major International Affairs,45
list-job-titles-for-major International Relations,45
list-job-titles-for-major Management,45
list-job-titles-for-major Marketing,45
list-job-titles-for-major Nursing,45
list-job-titles-for-major Philosophy,45
"list-job-titles-for-major Philosophy, Politics and Economics",45
list-job-titles-for-major Political Science,45
list-job-titles-for-major Psychology,45
list-job-titles-for-major Psychology,45
"list-job-titles-for-major Science, Technology and Society",45
list-job-titles-for-major Sociology,45
list-job-titles-for-major Urban Studies,45
list-job-titles-for-major Visual Studies,45
list-locations-for-major Business Administration,46
list-locations-for-major Communication,46
list-locations-for-major Economics,46
list-locations-for-major Economics,46
list-locations-for-major Engineering,46
list-locations-for-major English,46
list-locations-for-major Finance,46
list-locations-for-major Finance,46
list-locations-for-major International Affairs,46
list-locations-for-major Political Science,46
list-locations-for-major Psychology,46
list-locations-for-major Sociology,46
average starting salary in biology,47
get-average-salary-for-major Accounting,47
get-average-salary-for-major Behavioral Economics,47
get-average-salary-for-major Biological Basis of Behavior,47
get-average-salary-for-major Business Economics and Public Policy,47
get-average-salary-for-major Cinema Studies,47
get-average-salary-for-major Communication,47
get-average-salary-for-major Criminology,47
get-average-salary-for-major Economics,47
get-average-salary-for-major Engineering,47
get-average-salary-for-major English,47
get-average-salary-for-major Health and Societies,47
get-average-salary-for-major International Relations,47
get-average-salary-for-major Management,47
get-average-salary-for-major Marketing,47
get-average-salary-for-major Marketing and Communication,47
get-average-salary-for-major Materials Science and Engineering,47
get-average-salary-for-major Nursing,47
get-average-salary-for-major Philosophy,47
"get-average-salary-for-major Philosophy, Politics and Economics",47
get-average-salary-for-major Political Science,47
get-average-salary-for-major Psychology,47
"get-average-salary-for-major Science, Technology and Society",47
get-average-salary-for-major Sociology,47
get-average-salary-for-major Urban Studies,47
get-average-salary-for-major Visual Studies,47
Explore Career Outcomes,48
mba career plan survey,48
What companies pay the highest salaries?,49
What employers pay the highest salaries?,49
What is the highest paying major at UGA?,50
What majors earn the highest salaries?,50
What majors earn the highest salary?,50
What majors get paid the highest salaries,50
What majors get paid the highest salaries?,50
What majors historically typically have the highest salaries?,50
What majors pay the highest salaries,50
What majors pay the highest salaries?,50
What majors pay the highest salary?,50
What majors pay the highest?,50
What majors receive the highest salaries,50
What majors typically have the highest starting salaries?,50
What majors typically have the highest starting salary?,50
what were majors with highest salaries,50
What were majors with highest salaries?,50
Which undergraduate major had the highest starting salary last year?,50
highest paid majors,51
majors with highest salaries,51
what were the majors with highest salaries,51
what makes ga tech complete unqiue from any other colleges in the South?,52
get-law-school-list,53
How can I find GPA and LSAT scores from Penn students who applied to law school,53
my daughter is in 10 th grade and wants to do Law. ,53
What GPA do I need to have to get into law school?,53
get-med-school-list,54
what gpa do i need to have to get into medical school,54
What MCAT score do I need to have to get into med school?,54
"15 YEARS IN MACHINE SHOP, 5 YEARS PART DEVELOPMENT  , 5 YEARS IN ENGINEERING DEPT",55
Aerospace Engineering fellowships,55
aerospace engineering graduate school fellowship,55
"Aerospace engineering, what's it? ",55
"and it looks like you just switched to a new platform, i therefore cannot login to my existing account",55
Are pre-med advisors available over the summer?,55
Are there any fashion design majors,55
Are there any jobs available in the field of psychology over the summer? Any internships?,55
Are there any music theory internships?,55
Are there premed icing advisors at penn,55
Are these stats for MBAs in Finance for international students,55
assistance writing my teaching philosophy essay,55
Associates degree in business ,55
beginning salary of English teacher in Spain,55
Business Analyst,55
Business Sales resume,55
Can I do a sales/marketing internship/co-op inspite of being in an engineering course?,55
Can I find Internship program for newly graduate Bsc Nursing in Atlanta Georgia,55
can I make a n appointment with an admissions advisor before applying for premed program?,55
can i talk to human,55
Can you please shoot me an email on courses I need to take to be a budget manager in a business?,55
Career advisor for Environmental Engineering?,55
career consultant for engineering,55
career consultant for journalism,55
career consultant for pre-med,55
career counseling for professional staff,55
Career services for Pharmacy students?,55
Chemical Engineer conducting research. ,55
chemical engineering internship opportunity,55
coming from England to do my second year in BSc economics at UPenn as an exchange student. interested in finding an internship in the US. How can the UPenn assist in this endeavour?,55
Computer Science Professors,55
could you looking for research statement sample in chemical engineering,55
cover letter for higher education administration,55
"Dear Ms/Mr,  This is Rumeysa from TRT World, an international news platform in English. It is based on the junction between East and West Istanbul, Turkey. TRT World offers comprehensive global network of offices covering all major regions and hot spots, as well as three publishing centers in London, Washington, DC and Singapore.   TRT World is launching a new scholarship program this summer for undergraduate and new graduates, in Istanbul, the city where east meets west! The program is called as TRT Fellowship Program. We are building new teams in the News, Programs, Digital and Vision departments and expanding existing ones, offering opportunities.   TRT World Fellows will join our TRT Family on June 5th and will work with us till September 1st, 2017. The program will be shaped for Fellows to have the best journalism experience they can!  Fellows will have the opportunity of immersing themselves in the field with experienced supervisors and will get a broader sense of broadcasting. Fellows will also benefit from the extensive learning activities offered by TRT World, including interaction with prominent academics and access to various seminars and lectures, which include topics ranging from history, political thought, foreign policy, challenges of the 21st century and future trends. In order to make the adaptation process easier for fellows, the program will also provide them with Turkish language classes for four hours a week.   You can reach further information by clicking here.   We'll be in Yale next Friday, we also plan to visit other universities and have a career based presentations there. I wanted learn in advance whether we can reach the students in your media network and learn how many people would be willing to attend if we organize a presentation for in your college. Please let us know about the availability of the college.   Thank you!  I'll be looking forward to hearing from you,  ",55
Do I need to be in the pre-health program to get an pre-health advisor ,55
do you guys have a history page on here ?,55
Do you have a clinical Medical Assistant Volunteer list or locations,55
Do you have any career reports for students that Have graduated from Penn's School of Engineering PhD Programs?,55
Do you have internships or co-ops for psychology majors?,55
do you know if some students would like work in China? as a English teacher,55
"Do you need a professional and affordable ethical hacker probably for hacking into email accounts (Gmail, Yahoo, Hotmail or any domain), blogs, database hack, keylogging, chex system, professional hacking into Institutional servers, firewall breaches, change of University grades, Credit score upgrade, Admin (staff) account hack -Access/Password (Facebook, Instagram, BBM, Skype, Snapchat, Twitter, Word Press, iCloud accounts etc.), Tap into your spouse's phone to monitor calls and text message interception; then you should contact thishackdisting@gmail.com; this is for those who actually require the services of a good ethical hacker, I can definitely attest to how good and efficient he is, I do appreciate what he has done for me and I will always be grateful for turning my life around for good. I recommend anybody going through had time and need hacking service should contact him. I hope this helps someone.                                                                ",55
does doing Civil Air Patrol help in getting in at GTech Aerospace engineering UG class?,55
Does Gulfstream Aerospace recruit at GTA,55
education and social services career day 2017,55
For Biology premed requirements do I need to take BIOL 101 + BIOL 102 + 200-level biology lecture + BIOL 124?,55
"for pre-med, is it decided before admission or after?",55
get-job-title-stats-for Business Analyst - Strategy and Operations,55
get-job-title-stats-for Business Technology Analyst,55
get-job-title-stats-for Human Capital Analyst,55
get-job-title-stats-for Life Sciences and Healthcare Consultant,55
get-job-title-stats-for Real Estate Sales Agent,55
get-summary-major-stats-for Business Administration,55
hello i am staff nurse,55
Hello- I am a Penn undergrad with a BA in English and am desperate to shift out of accounting (which I've been in all my life and HATE) and into something where my degree is relevant.  Who can I make an appointment with?,55
"hello, I am a registered nurse looking to change career specialty. I am looking for a residency program to be an ER nurse.",55
"Hello, I need information about career development for Active Listening & Effective Communication",55
"Hello, I wanted to know if it is possible to switch from a Nursing major to a Pre-med major?",55
"hey, im going to be 2nd year master in pharmacy school, and im an international student. I want to find some pharma internship during fall semester. Could you give me some suggestion about this? ",55
Hi I am a nurse from foreign country and gotmy licensed here in the US las april.I am interested to be in the nurse residency program,55
Hi I am a recruiter from a Life Sciences company looking to post a job targeting Wharton MBA students and Alumni. Can you point me in the right direction?,55
Hi there! Do you know if there will be a specific career fair in the fall for aerospace engineering?,55
"Hi there! I have a question... When I log in to my handshake account, it says \Your request to be connected to Auburn University was denied.\"" Any idea how to resolve this?""",55
"Hi there! We are one international school in Shanghai ,China. We are wondering how and where can we post our vacant job position on your school career services website ? We hope some of your excellent students who interested in education willing to join us!",55
"Hi, Does your university have a business/industry student cluster organization?",55
"Hi, I am a research faculty at Penn. I want to improve my oral English.",55
"Hi, I am a rising sophomore in the College and I am currently interning for the summer.  I was wondering if it is necessary to ask for a reference letter from my boss?",55
"Hi, I am looking to suuport to write my research staements in physics",55
"Hi, I wanted to know more information on your Marketing Communications dual degree program combined with a minor in Consumer Psychology",55
"Hi, I'll like to know if I don't live in Canada I can apply for a job in Distances Education as Teacher or Prfessor?",55
"Hi, My daughter was accepted by UPenn nursing program but she is not 100% sure nursing is the path. Is it possible for her to try and pre med while in the nursing program?",55
"Hi! I just made an appointment with the pre law advisor, and I was wondering if I could change it to another day? I can't seem to find a place to cancel so I can reschedule ",55
Hi! i need help with scheduling an appointment with the pre-health advising,55
how can i apply for a nursing preop residency program,55
How can I find internships or full-time jobs if I am an international student and a graduate student in aerospace Engineering?,55
How can I set up an appointment with an advisor to pursue a career in Actuarial Science? I have a software engineering degree from Auburn,55
how do I apply for nurse residency program?,55
How do I delete my tiger recruiting link account? ,55
How do I find undergraduate business internships for the summer?,55
how many management information systems majors did Deloitte hire?,55
how many management information systems majors did PWC hire?,55
How many pancakes does it take to cover my dogs house,55
how many units for a physical therapy assistant degree,55
How much money does an aerospace engineering major earn in summer internship?,55
Human rights internships ,55
I am a 2013 BA MA graduate looking to switch fields to financial risk management and need help exploring options.,55
"i am a civil engineer with 2 years from India in MNCs experience i want a job out of India, but i dont knw how to get it",55
I am a distance MBA student and I would like to speak with an advisor applying to management trainee programs designed for recent MBA graduates.,55
I am a freshman nursing student and I am curious about possible summer internships that are available that somewhat can be connected to my major,55
I am a graduate of high school. Can I volunteer at upenn hospital programs,55
I am a high school freshmen with much experience with science and have a passion to learn more about biotechnology. I am interested in continuing the biological aspect of my biotechnology science fair but also just learning more about the field alongside a researcher. Are there any internships/researchers that would be interested in taking in freshmen? I can email further information about my project and experience.,55
I am a hiring manager and wanted to post a position so new grads or recent grads can see it.,55
"I am a hiring manager at The Home Depot corporate office in Atlanta.  I have a new opening for a Loss Prevention business analayst who will be doing a lot of OSHA, safety related work.  Can I post my opening at your placement office?",55
I am a hiring Sales Manager and would like to post a open position that I have in Sales for Atlantaa market place,55
"I am a Instructional Support Teacher  and I am looking for recent college graduates with  teaching degress with the Adapted Curriculum /Special Education degree /program.  We are looking for an Autism Teacher for 3rd - 5th grade at my elementary school  in South Fulton , Wolf Creek Elementary  School. ",55
I am a junior in high school and was wondering if you had any internships this summer in the architectural engineering field?,55
"I am a local business owner in Tyrone, GA. Who would I speak with in regards to some potential internship opportunities?",55
i am a masters student but it has me listed as a doctoral student. I need this fixed. It will not let me apply to certain jobs  because it has me in the wrong education level,55
I am a mechanical engineering major.  Who is my advisor,55
I am a mechanical engineering major.  Who is my advisor?,55
i am a medical graduate.ECFMG certified.very much interested to explore my opportunities in research career,55
"i am a nursing student graduating in may, and have applied to the Hospital at the University of Pennsylvania. I am looking for a general e-mail for Human Resrouces",55
I am a parent to aspiring undergraduate applicant.  what kind of internships do economics majors get during their studay at Penn?,55
I am a psychology major and would like to apply to a research assistant position at penn,55
I am a recent graduate of Auburn University (Master's in Nutrition) and I am interested in acquiring assistance in job placement or searching,55
I am a senior at Washington University in St Louis.  My GPA in chemical engineering is 3.3.  Can I still apply for my masters in computer science,55
I am a senior in high school and I am interested in civil engineering... is this a good path if I am interested in helping schools and engineering in less developed countries?,55
i am a student from India currently in 4 th year of my B-tech in Aerospace engineering,55
"I am already logged on to my account page. I have changed the name and phone number, I am not able to change the email address",55
I am an admitted student for the Computer Science major. What are the main companies that recruit in this field at Georgia tech?,55
I am an alumni.  I am looking to recruit a wharton mba student.  Do you have resources for potential employers?,55
I am an alumni. I just want to see where my fellow students who graduated with me went to work and what they are specifically doing with my major. Im a business management major,55
"I am an alumnus who spent most of her life teaching in rural Japan. Having returned to care for sick family members, I find that I am struggling to find employment. I would like advice on building two resumes, one that highlights my expereience as and educator/ administrator and one that illustrates skills transferable to a new but related industry. ",55
I am an economics major.  Who is my counselor,55
I am an economics major.  Who's my counselor?,55
I am an electrical engineering major who is my counselor,55
I am an electrical engineering major.  who is my advisor?,55
I am an electrical engineering major.  Who is my counselor?,55
I am an electrical engineering major. Who is my advisor?,55
I am an electrical engineering major. Who is my advisor?,55
I am an employer and would like to post a paid internship opportunity for your business students,55
I am an employer interested in posting a positon for employemnt in  my architecture firm. Where can i post the postion and it will reah students that are graduating with a degree in architecture,55
I am an engineer trainee in a company ,55
I am an insurance company in Atlanta that would like to post an ad to find candidates that have graduated in the Insurance and Risk Management field.  Where would I advertise?,55
I am doing an IT start up and I am looking for qualified web developers to help us with a new biz proposal.,55
I am doing Masters in Industrial engineering final semester.I am searching Internship related to my field ,55
"I am head of an internal audit dept for a large company in westchester ny  I am a Wharton alum.  Looking to hire an intern for the summer.  Can I post the job description, would love to hire a penn/ Wharton student ",55
I am interested in the management and technology program and also pursuing a premed curriculum is this possible?,55
I am looking for a contact for externships for a med tech I am tutoring. Do you have a contact name or number. For Penn Hospital. ,55
I am looking for a mechanical engineer intern student to work at my facility,55
I am looking for an intern to help me in communications and development at Central High School in Philadelphia.,55
I am looking for an internship in nursing or psychology,55
I am looking for nursing externships or internships in the new york area,55
I am looking to recruit an industrial engineering student,55
I am looking to work at Penn as a professional. Do you have any sales or marketing roles open?,55
"I am planning to do my masters in mechanical engineering from GA tech, I wanted to know how my job search would be assisted by the university once i  am don with the course",55
"I am preparing my application for Bioinformatics and Information Services Internship. I already have experience in Bioinformatics but not as a librarian, as a scientist. How can I explain it in my cover letter?",55
I Am trying to find open house for nurse practitioner on May 7th. i remember seeing it somewhere but i cannot locate it now. any idea?,55
I am writing in behalf of a Small Company and wanted to know if there is a internship program we can sign up to hire studfents with fashion major,55
i clicked that and it directed me to the housing page..,55
I got an email about the career fair for the education major and was just curious about it ,55
"I have an old resume from before I started the Exec Doc program in higher ed management. I led with my professional experience and put my education at the bottom. Now that I graduated with an EdD in 2017, should I lead with my education when looking for higher ed administrative jobs",55
I have submitted my doctoral thesis this month and want a post doc position in your university in the field of bone biology or osteoimmunology or cell biology.How should I apply for it?,55
i live in turkey and i am a citizen of turkey. i am studying aerospace engineering as sophomore student and searching internship program convinient for me.,55
I need a model of cover letter. i don't speal English very weel and i'm looking for a job here in USA,55
I need an example of a research and teaching statement for the business faculty,55
I need help finding summer engineering or internship programs for highschoolers,55
I need to ask premed advising a question,55
i need to contact the nurse residency program at hup,55
I need to delete my tiger recruiting link account. ,55
I need to make an appointment with a premed advisor,55
i need to reach a sample for research statement as i need to apply for PhD in Engineering ,55
i need to speak to a human,55
I need to study aerospace engineering is it marketable in the employment industries? ,55
I tried to log in many times to career buzz and it now says my account is disabled,55
I WANT TO BE A NURSE RESIDENT,55
i want to find a summer intern in computer science,55
"I want to major in biology, but dont know how to pay for it",55
I want to recruit engineering students,55
I want to see if there are any available positions as a teacher's assistant regarding the Arabic field of study?,55
I wanted to see a sample research statement for PhD in Life Sciences,55
i was looking for a summer externship/internships position for nursing students ,55
i will visit Wharton - how long should be resume be.  1 page or 2 pages ?,55
"I would like to apply for a faculty position in the Business Management program, but feel that it is a long shot as I am from the Philippines",55
I would like to get in touch with someone in Engineering to discuss recruiting upcoming graduates for open positions within our company.,55
I would like to know if this office (Career Center) keeps records for those individual who are a student employee?,55
I would like to see specific reports based on my major. My major is Mathematical Economics,55
I'd like to learn how to manage finances post-graduation ,55
I'd like to see samples of higher education administrative cover letters,55
I'd like to set up a prehealth advising appointment,55
I'm a biology major.  Who is my counselor,55
I'm a econ major.  Who's my advisor?,55
I'm a electrical engineering major.  Who is my counselor?,55
I'm a mechanical engineering major looking for a career advisors,55
I'm a mechanical engineering major.  Who is my advisor?,55
"I'm a pre-med student and I'm searching for opportunities that will help me get into med school. I'm currently shadowing an opthalmologist and thinking about taking an online medical scribe course so that I could work in an office next summer assisting a doctor as a medical scribe. I'm looking at online medical scibe courses, however before I pay to take the course I wanted to find out if this is actually something that would be beneficial to my med school application, and if so, are there any online courses that are known to be the most recommended as far as scribe courses go?",55
I'm an agricultural engineering major.  who is my counselor,55
I'm an economics major.  Who is my counselor?,55
I'm an electrical engineering major who is my advisor?,55
I'm an electrical engineering major who is my counselor?,55
I'm an electrical engineering major.  Who is my advisor?,55
I'm an electrical engineering major.  Who is my counselor,55
I'm an electrical engineering major.  Who is my counselor?,55
I'm an electrical engineering major. Who is my advisor,55
I'm an electrical engineering major. Who is my counselor,55
I'm an engineer and looking to hire engineers,55
I'm an Entertainment and Media Studies major. Who is my career consultant?,55
"I'm an incoming student and am interested in communications, but unsure of what career paths it could provide",55
"I'm looking for a data point on intern hourly rates - master's level Mechanical Engineer (Completed MS, working on PhD)",55
"I'm looking for a job in international relations/economics for summer 2017, but I am really getting into this late. Any advice for the job search here?",55
I'm looking for a job in the tourist industry. I speak Spanish.,55
I'm looking for a list of summer internships in the field of sociology,55
"I'm looking for full time work here, I have a BS in Internet Marketing and in September I will have my Masters in Innovation and Entrepreneurship, currently my GPA is 3.93 ",55
I'm looking for information on associates degree in business ,55
I'm looking for volunteer opportunities in pre dental,55
I'm looking to learn about other job opportunities that I might be suited for for a background in education and casework.,55
"I'm on a co-op right now and I know I'll be doing another rotation with this company in the Fall. I'd like to register this rotation, but when I tried to email my advisor (Tina Payne,) I get an error message saying the email can't be sent. Is there any other way I can communicate with my advisor for this? I'm in Savannah right now, so I can't meet in person",55
"I'm trying to figure out how to post an internship position for our company on your website. We are a real estate development and home building company based in Atlanta, GA. www. RockhavenGa.com",55
I've been locked out of my carrerbuzz acount and it says that my account has been disabled,55
iam a student and i want to apply for a public relations officer,55
"if i want to post a job for wharton undergrads, do i do it through the penn site or the wharton site?",55
Im a local business seeking to fill internship positions,55
Information Systems Management vs. Computer Science,55
Internship opportunities for mathematics and computer science,55
Internship statistics,55
internships in computer engineering,55
is it advisable to take stat 111 or biol 446 as a first semester freshaman. I plan to major in biology,55
Is it possible to only post to Wharton students?,55
Is it possible to start law school as a undergraduate ,55
Is there a general email address to contact the pre health advising offfice?,55
is there a sample schedule for students who are a part of the management and technology program and are Pre-med,55
Is there a way for me to post only to art/design school undergrads?,55
Is there an advisor for all the college of science,55
is there an advisor for pre-med?,55
is there finance advising?,55
Japanese is my 1st language and I want to be a tutor next year since my 1st year is under my belt and I can start getting more envolved on campus but I don't know where to go if I want to be a tutor for Japanese ,55
job placement for international business majors,55
Kindly help me to draft a research agenda for the next 3-5 years. My specialization is finance and accounting,55
liaison for the college of engineering,55
list-employers-for-major Management Information Systems,55
Looking for job as CNA at CHOA while I'm in nursing school. Now you just apply,55
management consulting,55
marketing research statement,55
master of business administration,55
music internships?,55
My company is looking for a Chemist. I would like to post the position in the College of Materials Coatings and Polymers,55
My friend has a print out of a weekly schedule that is each day hour by hour. It's blank and she fills it out every week and it really helps her manage her time! Is that from the career center?,55
"My name is Julie King and i am a Membership Manager for the National Association of Electrical Distributors- we had a former employee who worked with someone within Georgia Tech with regards to networking within our industry, however, that person is no longer with your University.  ",55
My name is Laura Howard and I am the Regional Office Manager for Thorburn Associates in the RaleighDurham Area. I was wondering if you have a job board I might post a position on. We are looking for a Theatre Designer to join our firm. ,55
My son got accepted to georgia tech for computer engineering. to make our decision I am looking at where the students from computer engineering/computer science got placed in the last 2 years.,55
my son is interested in becoming a history teacher. Where do we begin?,55
NCR recruitment history,55
Need help finding summer mechanical engineering internships,55
nurse residency programs,55
physical therapist job application,55
pre-law advisor,55
pre-med advisor,55
Premed advisor alum,55
psychology career services,55
recruiting statistics for bloomingdales,55
research statement for business school faculty job application,55
schedule an appointment with the pre health advisor ,55
"science, engineering faculty personal statement",55
so do you know if some students would like work in China? as a English teacher,55
"Summer Internships related to anthropology, finance, or computer science.",55
Summer mechanical engineering internships ,55
talk to Biomedical Engineering counselor,55
talk to Chemistry counselor,55
talk to Civil Engineering counselor,55
talk to Computer Science counselor,55
talk to Environmental Engineering counselor,55
talk to Industrial & Systems Engineering counselor,55
"talk to Literature, Media and Communication counselor",55
Thanks! Where is the physical office?,55
Then the virtual assistant needs to ask a human,55
"This is Anne, HR of IDA Workplace + Strategy, a full service operation, specializes in space planning, interior design, construction and project management for multinational corporations and state owned companies, more details on our website provided for you to check: http://www.idaworkplace.com/",55
volunteer jobs for engineering undergrad students,55
Want to know if the school offers a career in computer science and software engineering,55
Wharton Grad MBA 1984.  Seeking new position.  Is there a way to upload my resume to make it available to prospective employers?,55
Wharton Small Business Development Center,55
What are the summer prehealth advising walk in hours,55
What graduate programs Human Development and Family Sciences students go to?,55
What graduate schools Human Development and family sciences students go to,55
"what housing is available for students interning in washington, dc",55
What is the average salary for an assistant professor in nursing at a New York City university? For example NYU or Columbia?,55
What is your career management model,55
What kind of internships can I get while in engineering,55
What majors besides engineering majors are supported?,55
what year was the New BSN Nurse Residency Program Guide published,55
Where are career services for Wharton undergraduate Alumni?,55
where are the history fact pages on this cite ?,55
where can i find career services for wharton,55
where can I find nurse residence program to apply,55
Where can I get help finding business internships?,55
where is the nursing career event page,55
Where to undergraduate business students go for career counseling? Is it the same place for all students?,55
which advisors serve biomedical engineering,55
Which consultant helps undecided undeclared students?,55
which is best for construction engineers,55
Who advises Chemical Engineering majors?,55
Who are the Pre-law advisors?,55
Who are the top employers for Management INformation Systems graduates?,55
Who are the top employers for Management Information Systems majors?,55
who can help me with consulting?,55
who can help me with engineering questions?,55
Who can I contact about summer housing?,55
who can i contact for premed advice,55
Who is the advisor for business majors?,55
Who is the business counselor?,55
who is the career advisor for mechanical engineer,55
who is the career consultant for biological engineering?,55
who is the career consultant for engineering,55
who is the career consultant for engineering?,55
who is the career consultant for mechanical engineering,55
who is the career consultant for psychology,55
Who is the career counselor for Terry School of Business,55
Who is the contact for student internships to a business,55
who is the grady college consultant,55
Who is the pre med advisors,55
Who is the pre-law advisor?,55
Who is the prehealth consultant,55
Who is the Student Programming and Communications Manager,55
WHo should i talk to about wharton undergraduate alumni career resources,55
writing a research philosophy,55
Yes.  Does Career Services help with finding housing during summer internship?  I've secured an internship in NYC for summer 2017.  I need help with housing.,55
you can speak spanish?,55
Who can I talk to about summer funding,56
Aaron brown,57
Debi grayson,57
"Hi, I'd like to schedule an appointment without Shayna Smith",57
Holly getchell,57
How do I make an appointment with Megan Elrath,57
Kali Dewald,57
Maggie o'brien,57
samantha meyer,57
Samantha perrin,57
Scott Williams,57
Shayna smith,57
Speak with Kali Dewald,57
vassi deltcheva,57
who does Christiana Cough serve,57
who is brittany rikard,57
Who is Scott Williams,57
Who is Scott Williams?,57
Who is Vassi Deltcheva,57
William debruin,57
Who does Anne Marie Gercke serve,58
who does Anthony Arcieri serve,58
who does Brittany Rikard serve,58
who does Brittany Rikard serve,58
who does Brittany Smith serve,58
who does Brittany Smith serve,58
who does Carol Hagan serve,58
who does Caroline Wilky serve,58
who does Esther Ra serve,58
who does Jamie Grant serve,58
who does John Tuton serve,58
who does Lanie Damon serve,58
who does Marianne Lipa serve,58
who does Megan Elrath serve,58
who does Megan Elrath serve,58
who does Megan Flora serve,58
who does Megan Flora serve,58
who does Mia Carpiniello serve,58
who does Nadine Goldberg serve,58
who does Samantha Perrin serve,58
who does Shayna Smith serve,58
who does Tiffany Franklin serve,58
who does Todd Rothman serve,58
who does Whitney Prescott serve,58
who does Whitney Prescott serve,58
who does Whitney Prescott serve,58
who is kali dewald,58
who is Robbie ouzts,58
Who is robbie ouzts?,58
Who is Samantha Meyer,58
Can students who attend an outside school get an internship here?,59
Can you direct me to someone who can assist me?,59
"Hello, who is the current Director of Career Services?",59
"Hi, who is the director of career services",59
"Hi! I am a rising senior who is hoping to do consulting after graduation in 2018. Specifically, I'd like to work in London. I was wondering about who I could talk to about steps I could take over the summer to make this happen.",59
How do I find out who my co-op advisor is?,59
"I am a graduate student who did undergraduate at Georgia Tech.  how do I update my academic information in CareerBuzz, it still lists me as a Senior undergraduate student",59
I am a prospective graduate student who wishes to pursue a master's degree at UPenn. Are there any options for financial aid?,59
I am in a dept who is willing to pay for education.  I wanted to understand the process of MS for medical writing,59
"I am trying to find my career advisor (my major is EnvE) but it says \Advising by Committee.\"" Who is my advisor?""",59
Im trying to find out who my advisor is,59
looking to find who my internship advisor is,59
My elementary school is looking to interview teachers this coming Thursday.  Who would we speak with to provide information.  Must be recent certified teacher (K-5),59
Who advises students ?,59
Who are the advisors for the internship program?,59
Who are the career consultants advisors,59
who are the career counselors,59
Who are the members of the career services staff?,59
Who are the student interns in LA June 2017,59
who can i call about an internship,59
Who can I contact in regards to more information for the Nursing Residency Program at UPenn Hospital?,59
who can I talk to about intern,59
Who can I talk to about internships?,59
Who can use Career Services,59
Who do i call for an open internship,59
who do I call to talk about how employers can recuit Penn students for internships,59
Who do I talk to about career advising,59
Who do I talk to in CSE to find great AI candidates for my gaming company?,59
Who do Penn staff members contact in the Career Services office?,59
Who is eligible for on campus recruiting,59
who is my adviser,59
Who is my adviser?  ,59
Who is my advisor,59
Who is my advisor?,59
Who is my advisor?,59
Who is my career advisor,59
Who is my career advisor,59
Who is my career consultant,59
Who is my co op advisor?,59
Who is my co-op advisor,59
Who is my counselor,59
Who is my counselor?,59
Who is our current president ,59
who is president of usa ?,59
Who is the CHM 251 professor,59
Who is the consultant for Grady students,59
Who is the director of the career center?,59
Who is the director?,59
Who is the director?>,59
Who is the ECE career adviser?,59
Who is the executive director?,59
who is the graduate career advisor,59
Who is the Industrial Engineering Advisor,59
Who is the Ivan Allen Advisor,59
Who is the NSF Coordinating Officer,59
Who recruits for Georgia Tech?,59
Who s my career consultant?,59
lgbt,60
Diversity resources,61
Where can I find diversity resources?,61
Diversity events for African American students?,62
Is there any summer programs for International students?,63
resources for international students,63
Resources for LGTB students,64
Resources for LGTB students,64
Resources for Native American students,65
do i still have access to lippencott library resources?,66
I need nursing resources,66
Is there any iternship programs for veterans in Philadelphia pa ,66
online resources,66
"As an employer, how can we post a job on your website?",67
Can I post a job on your website?,67
can i post a job to your alumni site?,67
do i have to use handshake to post jobs?,67
do it cost to post a job ,67
do you have job postings on wharton webstie,67
Do you have posted job placement for engineers?,67
employer posting a job,67
Find a job I posted,67
Find a job posting,67
Find employer link to post a job opening,67
Hi - I am looking to post a job. I am with ULI Philadelphia,67
hi I posted a job Monday and trying to check the status but can't find the login section,67
hi i want to post a job,67
"Hi, how can a GT department post a job to hire a current student?",67
"hi, i posted a job in the summer of 2014. is there an easy way to re-post it?",67
How can an employer post a job listing,67
How can I post a job,67
how can i post a job for UPenn,67
how can I post a job in your board?,67
How can I post a job on your website as an employer,67
How can I post a job opportunity for students to see?,67
How can I post a job?,67
how can i post a job?,67
How do employers post a job?,67
how do I post a job,67
How do I post a job as an employer?,67
how do i post a job for alumni?,67
how do i post a job for students,67
